
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="OLS",="BG",="FGLS",="WG",="LSDV",="FD",="Mundlack"

="exper",="0.0447***",="0.0382***",="0.0889***",="0.114***",="0.114***",="0.117***",="0.114***"
="",="(0.00239)",="(0.00570)",="(0.00282)",="(0.00247)",="(0.00247)",="(0.00631)",="(0.00247)"

="expsq",="-0.716***",="-0.631***",="-0.773***",="-0.424***",="-0.424***",="-0.532***",="-0.424***"
="",="(0.0528)",="(0.126)",="(0.0623)",="(0.0546)",="(0.0546)",="(0.139)",="(0.0546)"

="weeks",="0.00583***",="0.0131**",="0.000966",="0.000836",="0.000836",="-0.000268",="0.000836"
="",="(0.00118)",="(0.00407)",="(0.000743)",="(0.000600)",="(0.000600)",="(0.000565)",="(0.000600)"

="educ",="0.0760***",="0.0738***",="0.112***",="0",="0",="",="0.0738***"
="",="(0.00223)",="(0.00490)",="(0.00606)",="(.)",="(.)",="",="(0.00490)"

="avexper",="",="",="",="",="",="",="-0.0756***"
="",="",="",="",="",="",="",="(0.00621)"

="avexpsq",="",="",="",="",="",="",="-0.207"
="",="",="",="",="",="",="",="(0.137)"

="avweeks",="",="",="",="",="",="",="0.0123**"
="",="",="",="",="",="",="",="(0.00411)"

="_cons",="4.908***",="4.683***",="3.829***",="4.596***",="4.596***",="",="4.683***"
="",="(0.0673)",="(0.210)",="(0.0936)",="(0.0389)",="(0.0389)",="",="(0.210)"

="N",="4165",="4165",="4165",="4165",="4165",="3570",="4165"
="r2",="0.284",="0.326",="",="0.657",="0.907",="0.221",=""
="r2_o",="",="0.272",="0.183",="0.0476",="",="",="0.416"
="r2_b",="",="0.326",="0.172",="0.0276",="",="",="0.326"
="r2_w",="",="0.136",="0.634",="0.657",="",="",="0.657"
="sigma_u",="",="",="0.320",="1.036",="",="",="0.320"
="sigma_e",="",="",="0.152",="0.152",="",="",="0.152"
="rho",="",="",="0.815",="0.979",="",="",="0.815"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
